A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
          Fukien,0,5,5,0,0,5,5,5,10,0,5,0,10,10,5,0,0,0,0,5,5,0,80,285
          German,15,140,75,70,75,35,70,20,30,165,25,65,20,35,60,20,15,25,70,30,155,55,1270,4420
          Greek,65,25,45,25,25,15,25,15,20,125,15,25,5,30,35,15,10,5,5,5,20,20,585,1370
          Gujarati,0,30,5,5,0,5,5,5,5,5,5,0,5,20,10,5,5,0,5,0,20,10,155,1390
          Hakka,0,5,0,0,0,5,5,5,5,0,5,0,0,20,0,5,0,0,10,5,0,0,65,130
          Hebrew,5,25,20,20,5,0,15,10,5,20,10,15,15,5,20,15,10,5,10,0,15,10,260,480
          Hindi,5,75,10,20,20,40,130,15,55,20,20,15,15,180,30,5,5,0,250,90,50,5,1035,5665
          Hungarian,5,25,10,15,10,5,10,5,10,25,10,5,0,10,10,0,5,5,5,10,20,0,200,850
          Ilocano,0,5,0,0,5,10,35,0,10,0,5,5,0,30,10,0,0,0,30,5,0,0,145,315
"          Indo-Iranian languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,20,75
          Italian,25,80,20,35,85,205,65,10,25,55,10,30,10,120,15,10,5,15,15,25,65,10,945,3290
          Japanese,20,165,35,70,50,40,65,25,30,70,55,55,15,75,40,15,30,15,20,25,185,25,1130,2760
          Khmer (Cambodian),0,0,0,5,0,5,10,0,0,5,0,0,0,5,0,0,0,5,5,0,0,0,30,130
          Korean,30,170,15,25,5,10,15,30,25,20,15,20,15,30,15,5,5,5,10,5,130,10,615,2715
          Kurdish,0,5,0,0,5,5,10,0,0,0,0,10,0,5,5,0,0,0,5,0,5,0,50,155
          Lao,0,5,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,145
          Latvian,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,10,25
          Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,25
          Lithuanian,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,15,35
          Macedonian,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
          Malay,5,35,5,5,5,0,10,0,15,5,10,10,5,40,5,0,0,0,5,5,20,5,190,580
          Malayalam,0,0,0,5,0,5,0,0,5,5,0,0,0,10,5,0,0,0,15,5,5,0,45,215
          Maltese,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15
          Mandarin,145,200,105,70,45,110,135,150,155,70,240,35,130,255,95,75,50,50,90,135,85,55,2470,7635
          Marathi,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,55
          Nepali,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,65
"          Niger-Congo languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,110
          Norwegian,0,10,10,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,0,45,150
          Oromo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,25
          Panjabi (Punjabi),25,105,10,25,10,25,155,15,115,25,55,15,40,175,45,15,5,5,735,190,35,10,1840,13370
          Pashto,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,105
          Persian (Farsi),15,370,10,40,20,25,20,15,10,35,25,35,10,20,10,5,5,5,5,5,130,20,840,3470
          Polish,5,60,15,30,20,10,30,5,30,30,15,30,5,20,10,10,10,10,10,10,50,10,405,1810
          Portuguese,10,80,10,15,35,40,80,0,35,25,10,20,5,125,15,0,10,5,10,25,90,5,645,1655
          Romanian,0,20,5,20,5,0,5,5,10,10,15,10,0,5,5,0,0,5,0,0,25,5,145,915
          Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,25
          Russian,5,100,5,30,15,10,15,5,20,20,50,20,0,15,10,5,5,10,15,10,75,10,445,1550
          Rwanda (Kinyarwanda),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
"          Semitic languages, n.i.e.",0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,85
          Serbian,0,50,5,15,10,15,10,5,5,30,5,5,5,20,0,0,0,0,5,5,45,5,250,835
          Serbo-Croatian,0,15,0,5,5,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,10,0,50,160
          Shanghainese,0,5,0,5,5,10,5,5,5,0,5,0,5,10,0,5,0,5,5,5,5,0,75,210
"          Sign languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,15,130
          Sindhi,0,15,0,0,5,5,5,0,5,0,0,0,5,0,0,5,0,0,0,0,10,5,55,380
          Sinhala (Sinhalese),0,0,5,0,0,0,5,0,5,0,0,5,0,5,0,0,0,0,5,0,0,0,35,255
"          Sino-Tibetan languages, n.i.e.",0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,30
"          Slavic languages, n.i.e.",0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,5,0,0,5,0,15,45
          Slovak,0,10,0,0,5,0,0,0,5,5,5,5,0,0,0,0,0,0,0,0,15,0,60,295
          Slovenian,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,20,70
          Somali,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,5,5,5,0,0,25,165
          Spanish,40,375,70,140,165,155,170,30,125,205,75,145,25,145,80,25,30,45,80,65,410,50,2660,7085
          Swahili,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,10,0,0,0,45,205
          Swedish,0,15,5,5,5,0,0,5,0,20,0,5,0,0,5,5,0,0,0,0,20,0,105,305
"          Tagalog (Pilipino, Filipino)",10,90,10,50,70,135,365,20,170,15,115,135,30,410,130,5,10,10,330,150,105,0,2360,8110
          Taiwanese,20,10,25,5,5,5,5,15,20,10,50,5,45,10,10,20,15,0,20,5,10,10,320,1240
          Tamil,0,0,0,0,5,0,20,0,5,0,5,15,0,15,15,5,0,5,60,10,10,0,170,435
          Telugu,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,20,85
          Thai,0,15,5,0,5,5,5,0,5,5,10,0,0,5,0,0,5,0,5,0,25,0,100,230
          Tibetan languages,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,20
          Tigrigna,5,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,15,75
          Turkish,0,40,5,10,0,0,5,0,0,15,10,5,0,5,0,0,0,0,0,0,50,0,160,495
          Ukrainian,0,15,5,15,5,15,5,0,5,5,5,0,0,5,5,0,0,0,0,0,15,0,105,430
          Urdu,0,15,0,5,0,5,10,0,10,0,5,0,5,5,5,5,5,0,25,5,10,5,105,1115
          Vietnamese,5,30,5,5,50,160,220,5,65,10,5,45,10,250,40,0,5,30,100,115,10,0,1175,2475
          Yiddish,0,0,0,0,0,0,0,0,0,5,0,5,5,5,0,0,0,5,0,0,0,0,20,30
        Other languages,5,30,15,20,45,15,35,0,20,20,15,30,10,40,15,0,5,10,20,10,30,10,390,1245
    Multiple responses,20,165,30,55,50,55,75,30,55,70,60,50,40,105,50,10,15,25,110,60,140,20,1285,4020
      English and French,0,15,0,10,5,0,10,0,10,5,10,0,0,5,0,5,5,5,10,0,15,0,105,400
      English and non-official language,15,40,10,20,10,20,40,15,25,15,35,15,30,65,20,5,5,5,75,30,30,10,530,1920
      French and non-official language,5,110,15,30,30,35,25,10,20,50,20,35,15,35,25,0,5,20,25,25,90,15,640,1680
"      English, French and non-official language",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
  Detailed other language spoken regularly at home - Females excluding institutional residents,8530,24650,11155,17025,13945,17170,24095,7835,14885,21940,11960,13340,6640,25720,11355,4450,3900,4690,18345,15590,21095,6705,304215,1170805
    None,6295,18365,9115,14280,11710,12745,17405,5990,10455,18580,8255,10935,4500,17595,8800,3430,3045,3940,12100,10775,16750,5460,229790,920300
    Single responses,2200,6090,2000,2670,2175,4380,6610,1815,4345,3260,3640,2335,2095,8010,2510,980,840,730,6155,4750,4210,1215,72930,245895
      English,1095,2330,700,810,700,1775,2930,795,1930,875,1795,735,985,3760,930,340,290,255,3085,2315,1410,420,30250,108140
      French,80,320,180,260,250,170,255,90,95,460,95,205,30,130,170,60,65,60,100,50,310,120,3545,10280
      Non-official languages,1025,3440,1115,1595,1230,2435,3425,925,2320,1925,1755,1395,1080,4120,1400,585,485,410,2975,2390,2485,670,39140,127470
        Selected Aboriginal languages,0,5,0,0,15,0,5,0,0,0,0,5,0,5,0,0,0,5,5,0,0,0,55,110
          Atikamekw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"          Cree, n.o.s.",0,5,0,5,10,0,0,0,5,0,0,5,0,5,0,0,0,5,5,0,0,0,40,75
          Dene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
          Innu/Montagnais,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Inuktitut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Mi'kmaq,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0
          Ojibway,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
          Oji-Cree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Stoney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
        Selected non-Aboriginal languages,1015,3410,1095,1580,1170,2415,3375,925,2290,1900,1745,1370,1070,4060,1390,580,475,385,2955,2365,2445,665,38645,125875
"          African languages, n.i.e.",0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,5,95
          Afrikaans,0,15,5,10,0,0,0,0,0,0,5,0,5,5,0,0,0,0,0,0,5,5,60,355
          Akan (Twi),0,0,0,5,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,100
          Albanian,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,20,165
          Amharic,0,5,0,5,5,0,5,0,5,5,0,0,0,5,0,0,0,0,0,5,10,0,50,195
          Arabic,5,70,5,15,0,5,10,5,10,5,5,5,5,10,0,10,0,5,15,0,35,0,230,1320
          Armenian,5,5,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,5,5,35,150
"          Bantu languages, n.i.e.",0,0,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,85
          Bengali,0,15,0,0,5,5,0,0,0,0,5,10,0,5,0,0,5,0,30,5,0,5,95,250
          Berber languages (Kabyle),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
          Bisayan languages,0,5,5,5,5,10,35,0,5,5,10,15,0,25,5,0,5,0,15,5,0,0,140,445
          Bosnian,0,5,0,0,0,0,5,0,0,5,5,0,0,5,0,0,0,0,5,0,10,0,45,165
          Bulgarian,0,25,0,10,5,0,0,0,0,5,0,5,0,5,0,0,0,0,0,0,20,0,85,225
          Burmese,0,5,0,0,0,10,10,0,10,5,0,0,0,5,0,0,0,0,0,0,0,0,45,115
          Cantonese,195,375,185,170,170,735,730,205,585,150,385,145,290,970,245,75,85,115,445,810,100,75,7240,14470
"          Chinese, n.o.s.",155,225,140,90,75,270,360,160,310,95,220,50,215,485,130,100,50,35,210,395,100,60,3935,9715
          Creoles,0,5,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,20,180
          Croatian,5,35,5,20,20,25,10,0,10,15,0,5,0,30,10,5,5,5,5,20,35,5,270,1165
          Czech,0,25,5,10,10,5,5,5,5,20,5,15,0,5,5,5,5,0,5,0,40,10,180,685
          Danish,0,5,10,5,5,5,0,5,5,5,5,5,0,0,0,5,0,0,0,5,5,0,80,445
          Dutch,5,20,10,15,5,10,10,5,10,30,10,20,5,10,10,5,5,5,5,5,35,15,235,1445
          Estonian,5,0,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,20,85
          Finnish,0,0,5,15,5,5,5,0,5,5,5,5,0,5,5,0,0,0,0,0,20,0,95,400
          Flemish,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,30
          Fukien,0,10,0,10,0,0,10,0,5,0,10,0,10,10,10,0,0,0,0,10,0,0,110,370
          German,40,100,85,100,70,35,100,25,50,210,30,85,15,45,65,25,10,15,80,35,165,70,1465,5290
          Greek,65,30,45,25,15,15,25,5,25,130,25,25,10,20,40,10,10,0,10,5,15,25,580,1330
          Gujarati,5,35,5,5,5,5,10,5,10,5,5,5,10,20,5,0,10,0,20,0,15,10,195,1600
          Hakka,0,5,5,5,0,5,0,5,0,5,5,5,0,25,0,0,0,5,5,0,0,0,70,170
          Hebrew,5,20,25,20,10,0,5,10,5,30,0,20,15,0,20,20,25,0,10,0,5,10,250,430
          Hindi,15,60,10,20,20,35,125,15,60,25,20,15,15,160,30,10,5,0,255,110,30,5,1035,5990
          Hungarian,5,20,15,20,15,5,15,5,10,20,10,15,5,15,5,0,10,5,5,5,25,10,235,935
          Ilocano,0,0,0,0,5,5,45,0,10,0,10,15,0,55,15,5,5,0,45,20,0,0,240,505
"          Indo-Iranian languages, n.i.e.",0,0,0,0,0,5,0,0,0,0,5,0,0,5,0,0,0,0,5,0,0,0,20,75
          Italian,25,60,20,40,85,250,60,10,20,65,10,30,10,135,20,10,5,5,25,40,35,20,980,3365
          Japanese,30,230,55,130,65,60,95,40,65,155,60,100,25,115,75,20,35,15,20,35,275,45,1735,4110
          Khmer (Cambodian),0,0,0,5,0,5,15,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,40,155
          Korean,30,230,25,55,25,15,45,25,30,50,20,40,30,60,20,5,10,5,10,15,170,15,930,3315
          Kurdish,0,0,0,5,0,5,0,0,0,0,0,5,0,5,0,0,0,0,5,0,5,0,35,110
          Lao,0,0,0,0,5,5,5,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,25,155
          Latvian,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,20,45
          Lingala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
          Lithuanian,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,15,40
          Macedonian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
          Malay,5,40,10,10,5,0,15,5,15,10,15,0,10,20,5,5,10,0,5,5,15,5,190,685
          Malayalam,0,5,0,0,0,0,0,0,0,5,0,0,0,10,0,0,0,0,15,10,0,0,45,225
          Maltese,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,20
          Mandarin,195,255,150,115,50,145,185,160,200,115,285,55,165,285,125,80,50,50,105,165,135,70,3155,9105
          Marathi,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,15,60
          Nepali,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55
"          Niger-Congo languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,85
          Norwegian,0,5,5,0,0,0,5,5,0,10,0,0,0,0,0,5,0,0,0,0,5,5,40,180
          Oromo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
          Panjabi (Punjabi),20,115,15,45,15,25,150,15,110,40,55,15,35,150,55,15,5,0,730,160,30,5,1815,13485
          Pashto,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,100
          Persian (Farsi),15,310,10,40,20,20,10,15,15,45,10,20,5,15,10,5,5,0,10,5,115,15,705,3050
          Polish,0,75,10,55,20,15,30,5,40,40,15,35,10,10,10,10,10,0,10,5,70,10,500,2180
          Portuguese,5,70,10,30,35,40,80,5,30,40,10,15,0,115,20,0,10,5,20,25,55,10,640,1925
          Romanian,5,30,0,20,10,5,5,0,5,25,25,10,5,10,10,0,0,0,10,0,35,5,215,1040
          Rundi (Kirundi),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
          Russian,5,130,5,35,20,15,25,10,35,55,40,20,5,25,15,10,5,5,10,5,105,15,590,1925
          Rwanda (Kinyarwanda),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10
"          Semitic languages, n.i.e.",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,70
          Serbian,5,65,5,25,10,15,5,5,10,25,10,5,0,20,5,0,0,0,5,0,45,5,255,765
          Serbo-Croatian,5,15,0,10,0,5,5,0,5,5,0,5,5,5,5,0,0,0,0,0,15,0,75,200
          Shanghainese,5,5,0,0,0,10,5,10,5,0,5,5,10,5,0,0,0,0,5,5,5,0,90,260
"          Sign languages, n.i.e.",0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,0,0,0,5,0,5,0,35,215
          Sindhi,5,15,0,5,0,0,5,5,5,5,0,0,5,5,0,5,0,0,5,0,10,0,65,505
          Sinhala (Sinhalese),0,0,5,0,0,0,5,0,5,0,0,5,5,5,0,0,0,0,10,0,5,0,35,255
"          Sino-Tibetan languages, n.i.e.",0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,25
"          Slavic languages, n.i.e.",0,0,0,5,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,40
          Slovak,0,25,5,5,0,0,5,0,10,10,0,5,0,5,0,0,0,0,0,0,35,0,120,465
          Slovenian,0,5,0,0,0,0,0,0,5,5,0,0,0,5,0,0,0,0,5,0,5,0,25,90
          Somali,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,10,0,0,0,25,160
          Spanish,45,275,75,175,135,170,185,40,160,245,85,140,35,145,85,30,30,35,80,65,300,65,2600,7380
          Swahili,5,0,5,0,5,5,0,0,0,0,0,5,0,5,0,0,5,5,5,0,0,5,35,220
          Swedish,5,20,5,10,5,5,0,0,0,10,0,10,0,0,5,0,0,5,0,0,20,0,110,370
"          Tagalog (Pilipino, Filipino)",45,140,70,120,115,205,595,75,230,70,215,270,50,635,215,55,40,10,485,215,140,35,4025,13385
          Taiwanese,20,25,20,5,0,10,5,25,20,10,60,5,40,15,20,35,10,0,15,5,5,10,360,1350
          Tamil,0,5,0,0,0,0,25,0,5,5,5,10,0,5,10,5,0,0,35,10,10,0,120,380
          Telugu,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,5,0,0,20,75
          Thai,5,20,0,5,15,5,10,0,5,10,10,10,0,10,10,5,0,0,0,5,25,5,155,440
          Tibetan languages,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
          Tigrigna,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,20,80
          Turkish,0,30,5,5,5,0,5,0,0,20,0,10,5,5,0,0,0,0,0,0,25,0,115,400
          Ukrainian,0,15,0,15,10,5,10,0,5,15,5,10,0,10,5,0,0,0,5,0,20,0,140,535
          Urdu,0,5,0,0,5,5,10,0,5,5,0,0,0,5,0,5,0,0,20,5,10,0,90,1045
          Vietnamese,0,50,5,5,60,145,225,0,85,5,15,40,10,255,45,5,5,40,95,110,10,0,1225,2610
          Yiddish,5,0,0,5,0,5,5,0,0,0,0,5,5,0,0,0,0,0,5,0,0,5,25,40
        Other languages,5,20,15,15,40,20,45,5,25,25,10,20,5,50,20,5,5,20,15,25,35,5,445,1490
    Multiple responses,35,200,40,80,55,45,80,35,80,105,65,65,45,115,50,30,20,25,95,60,135,30,1490,4610
      English and French,0,30,5,10,5,5,5,0,10,10,10,5,0,5,5,0,5,0,10,5,10,0,130,485
      English and non-official language,15,55,20,25,15,15,45,20,45,10,35,25,35,80,15,20,0,5,55,35,35,10,615,2070
      French and non-official language,15,115,20,45,40,25,30,15,30,80,20,35,10,35,30,15,10,15,30,20,85,20,735,2010
"      English, French and non-official language",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,40
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
