A,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
          Vietnamese,10,120,10,35,245,745,1225,5,295,25,70,215,30,1190,170,15,10,195,420,515,50,5,5600,11525
          Yiddish,10,0,5,10,5,5,0,5,0,10,0,5,15,0,0,0,10,0,0,0,10,5,95,145
        Other languages,15,70,20,35,75,35,105,5,60,40,40,60,20,120,40,5,5,35,80,70,65,10,1020,3265
    Multiple responses,180,555,220,375,320,585,915,150,500,380,440,375,180,1145,340,90,100,100,885,595,445,105,8965,31800
      English and French,20,65,30,75,50,35,45,10,20,85,20,40,10,30,45,15,15,10,20,10,65,25,745,2235
      English and non-official language,150,410,165,265,240,530,820,130,450,255,395,295,155,1085,280,65,80,80,840,555,320,65,7625,27745
      French and non-official language,10,65,10,20,25,15,35,5,20,25,15,25,10,15,15,5,5,10,10,20,45,10,410,1225
"      English, French and non-official language",5,15,15,15,0,5,15,5,5,10,5,10,5,15,10,0,0,5,15,10,10,5,185,590
Knowledge of official languages - Total population excluding institutional residents,15665,53270,21650,30690,27205,33700,47190,14725,28190,41180,23365,26155,12345,50240,21740,8515,7400,10705,36120,30110,44355,12795,595720,2292115
  English only,12725,45125,17805,25510,22115,26885,37750,12290,23965,33330,19935,21825,10315,41405,18065,6930,6120,7445,30555,24195,37355,10185,490430,1997605
  French only,10,55,5,25,15,10,40,5,15,30,10,30,0,35,10,0,5,20,20,5,55,15,430,1265
  English and French,1500,6320,3050,4740,3570,2040,3235,1445,1475,7395,1560,3595,670,1860,2450,1035,1020,975,1605,1040,6275,2195,58905,164780
  Neither English nor French,1425,1770,785,405,1500,4770,6165,975,2730,425,1865,695,1355,6940,1220,550,260,2260,3935,4870,670,405,45960,128460
  Knowledge of official languages - Males excluding institutional residents,7130,28620,10495,13665,13260,16530,23090,6885,13305,19240,11405,12810,5705,24520,10385,4070,3500,6010,17770,14525,23260,6090,291505,1121310
    English only,5865,24600,8825,11535,11080,13650,19030,5885,11555,15915,9880,10890,4865,20750,8820,3375,2990,4555,15525,12055,19675,4960,245600,994505
    French only,0,25,0,10,5,5,20,5,5,10,5,15,5,15,5,0,5,20,10,0,25,10,210,580
    English and French,620,3260,1315,1965,1595,915,1500,550,620,3125,725,1640,275,875,1080,440,410,545,755,475,3290,960,26860,73445
    Neither English nor French,645,735,350,155,575,1965,2540,445,1120,185,795,270,565,2880,480,255,90,890,1480,1985,270,165,18840,52785
  Knowledge of official languages - Females excluding institutional residents,8530,24650,11155,17025,13945,17165,24100,7835,14885,21940,11960,13340,6640,25720,11360,4450,3900,4695,18345,15590,21095,6705,304215,1170805
    English only,6860,20525,8985,13975,11035,13235,18720,6410,12415,17415,10055,10940,5450,20660,9250,3550,3125,2890,15030,12140,17675,5220,244830,1003100
    French only,5,30,5,20,10,5,20,5,10,15,5,15,0,15,5,5,5,5,10,5,30,5,225,690
    English and French,885,3065,1730,2775,1975,1120,1735,890,855,4270,830,1965,400,990,1365,595,605,430,850,565,2985,1240,32050,91335
    Neither English nor French,775,1035,435,260,925,2800,3620,530,1610,235,1065,425,790,4055,740,300,165,1365,2455,2880,405,240,27120,75675
First official language spoken - Total population excluding institutional residents,15660,53270,21650,30685,27205,33700,47185,14725,28190,41175,23365,26155,12340,50240,21745,8520,7400,10700,36120,30110,44350,12795,595720,2292115
  English,13910,49845,20495,29320,25020,28510,40270,13515,25050,39410,21060,24820,10835,42820,20130,7825,6970,8195,31740,24990,41880,12050,537105,2126505
  French,180,1150,250,775,575,310,540,155,230,1085,235,560,75,280,295,85,120,215,210,135,1440,270,9165,25025
  English and French,170,550,125,200,130,170,270,85,205,275,235,95,90,270,105,60,50,55,270,150,375,80,4020,13890
  Neither English nor French,1400,1725,775,395,1485,4705,6105,970,2710,410,1830,675,1350,6870,1210,545,255,2235,3900,4835,655,395,45430,126690
  First official language spoken - Males excluding institutional residents,7130,28620,10495,13665,13265,16530,23095,6885,13305,19235,11405,12810,5700,24520,10385,4070,3500,6010,17770,14520,23260,6090,291505,1121310
    English,6340,27030,9990,13095,12340,14355,20165,6335,11990,18460,10405,12200,5070,21390,9710,3760,3320,4940,16065,12415,22010,5765,266405,1050815
    French,70,650,105,335,285,160,275,70,110,480,115,300,30,155,155,45,60,155,115,75,805,115,4655,12225
